ID,Sample_or_Control,Name,Type,Time,Total_CopyNo,CopyNumStdDev,Desulfo_CopyNo,Hydrogeno_CopyNo,Thermo_CopyNo
TAn1L,sample,RockAnoxic_1L_240hr,RockAnoxic,240,46700,865,2032,17264,
G1L,sample,Glass_1L_240hr,Glass,240,202000,1640,9406,58897,
W1L,sample,Water_1L_240hr,Water,240,104000,2200,9550,43691,
TO1L,sample,RockOxic_1L_240hr,RockOxic,240,35000,2050,1961,9240,
TO5_2,sample,RockOxic_240hr,RockOxic,240,12400,190,1336,5635,71
TO5_3,sample,RockOxic_240hr,RockOxic,240,2280,75.6,267,1008,13
W5_3,sample,Water_240hr,Water,240,54700,1630,6186,26856,1389
G5_2,sample,Glass_240hr,Glass,240,138000,8050,7296,41797,1421
G5_3,sample,Glass_240hr,Glass,240,163000,13300,8160,66554,2940
TAn5_1,sample,RockAnoxic_240hr,RockAnoxic,240,35300,2310,2220,16262,123
TAn5_2,sample,RockAnoxic_240hr,RockAnoxic,240,206,8.39,112,2,11
W5_1,sample,Water_240hr,Water,240,50100,307,5753,25773,2396
W5_2,sample,Water_240hr,Water,240,15800,96.2,5755,185,3794
G5_1,sample,Glass_240hr,Glass,240,81200,3250,3691,17910,1135
W4_1,sample,Water_168hr,Water,168,96000,3490,9658,44814,5367
W4_3,sample,Water_168hr,Water,168,85500,5740,10197,43436,4436
G4_1,sample,Glass_168hr,Glass,168,146000,16600,7725,59453,3559
W4_2,sample,Water_168hr,Water,168,54700,1480,6053,24776,2800
TO4_1,sample,RockOxic_168hr,RockOxic,168,9900,402,742,4545,36
TAn4_3,sample,RockAnoxic_168hr,RockAnoxic,168,1940,101,1201,22,24
TO5_1,sample,RockOxic_240hr,RockOxic,240,17400,192,2121,9255,146
TAn5_3,sample,RockAnoxic_240hr,RockAnoxic,240,5450,318,942,1648,91
G1_2,sample,Glass_24hr,Glass,24,16200,1120,6785,65,2928
G1_3,sample,Glass_24hr,Glass,24,21400,242,8173,29,4245
G4_2,sample,Glass_168hr,Glass,168,321000,17300,15696,114619,6670
G4_3,sample,Glass_168hr,Glass,168,23300,2000,11983,818,2457
TO1_1,sample,RockOxic_24hr,RockOxic,24,126,6.4,97,0,4
TO1_3,sample,RockOxic_24hr,RockOxic,24,1030,34.5,759,3,46
TO4_2,sample,RockOxic_168hr,RockOxic,168,5660,458,445,1962,24
TO4_3,sample,RockOxic_168hr,RockOxic,168,37300,2510,2575,15146,312
TAn4_1,sample,RockAnoxic_168hr,RockAnoxic,168,89700,3900,5253,35511,536
TAn4_2,sample,RockAnoxic_168hr,RockAnoxic,168,66100,2670,4621,31744,424
W1_3,sample,Water_24hr,Water,24,39600,11200,14594,245,6938
TAn1_2,sample,RockAnoxic_24hr,RockAnoxic,24,2090,166,1531,6,87
TAn1_3,sample,RockAnoxic_24hr,RockAnoxic,24,977,29.1,589,2,53
TAn1_1,sample,RockAnoxic_24hr,RockAnoxic,24,2290,68.4,1628,5,127
TAn2_1,sample,RockAnoxic_48hr,RockAnoxic,24,388,4.83,235,2,7
W1_1,sample,Water_24hr,Water,24,28400,969,11878,171,3987
W1_2,sample,Water_24hr,Water,24,29000,551,10782,172,5144
W2_2,sample,Water_48hr,Water,48,59600,14600,8009,8509,8330
W2_3,sample,Water_48hr,Water,48,74900,470,10838,11340,10511
G1_1,sample,Glass_24hr,Glass,24,39900,7450,17243,145,6633
G2_3,sample,Glass_48hr,Glass,48,51900,6160,12187,5407,7368
TO1_2,sample,RockOxic_24hr,RockOxic,24,2930,274,2071,8,145
t0_1,sample,t0,Initial,0,7650,905,3259,6,1350
t0_2,sample,t0,Initial,1,6930,4950,3340,9,1161
t0_3,sample,t0,Initial,2,6160,209,2870,6,1171
W3_2,sample,Water_96hr,Water,96,81900,3370,6706,38676,4602
W3_3,sample,Water_96hr,Water,96,38800,933,2886,18786,2646
G3_1,sample,Glass_96hr,Glass,96,83200,5030,4540,22277,3830
G3_2,sample,Glass_96hr,Glass,96,67000,3220,4957,24345,2559
G3_3,sample,Glass_96hr,Glass,96,106000,4790,6220,26876,4189
TO3_1,sample,RockOxic_96hr,RockOxic,96,38700,1890,3539,15598,199
TO3_3,sample,RockOxic_96hr,RockOxic,96,25200,1190,2797,14060,264
TAn3_2,sample,RockAnoxic_96hr,RockAnoxic,96,734,36.1,398,12,8
W2_1,sample,Water_48hr,Water,48,22200,831,3479,3081,2854
W3_1,sample,Water_96hr,Water,96,6480,364,1592,11,1817
G2_1,sample,Glass_48hr,Glass,48,16800,918,4437,1123,2957
G2_2,sample,Glass_48hr,Glass,48,17700,548,4692,1332,2863
TO2_1,sample,RockOxic_48hr,RockOxic,48,4880,546,1857,677,186
TO2_2,sample,RockOxic_48hr,RockOxic,48,304,3.37,192,1,6
TO2_3,sample,RockOxic_48hr,RockOxic,48,178,9.24,77,25,6
TO3_2,sample,RockOxic_96hr,RockOxic,96,22200,521,2310,10702,135
TAn2_2,sample,RockAnoxic_48hr,RockAnoxic,48,1050,13,519,22,65
TAn2_3,sample,RockAnoxic_48hr,RockAnoxic,48,1550,66.3,708,201,58
TAn3_1,sample,RockAnoxic_96hr,RockAnoxic,96,4940,172,651,2287,81
TAn3_3,sample,RockAnoxic_96hr,RockAnoxic,96,33700,1700,2179,14400,261
