,Time,SO4_ppm,StdDev,Type
t0,0,223.4633333,2.066193494,Initial
G1,24,215.9516667,6.921302061,Glass
G2,48,217.2533333,13.15572457,Glass
G3,96,220.105,8.152785822,Glass
G4,168,205.5583333,8.079371194,Glass
G5,240,230.245,3.495489951,Glass
G5_1L,240,235.86,,Glass
TAn1,24,204.11,10.60042531,Rock Anoxic
TAn2,48,206.32,1.343502884,Rock Anoxic
TAn3,96,213.2716667,13.00449944,Rock Anoxic
TAn4,168,197.6383333,16.01025574,Rock Anoxic
TAn5,240,225.4233333,12.52053935,Rock Anoxic
TAn5_1L,240,218.92,,Rock Anoxic
TO1,24,222.3966667,7.051390328,Rock Oxic
TO2,48,203.6133333,4.554355669,Rock Oxic
TO3,96,226.4866667,2.833679391,Rock Oxic
TO4,168,217.7966667,1.844859224,Rock Oxic
TO5,240,231.535,2.583189243,Rock Oxic
TO5_1L,240,226.955,,Rock Oxic
W1,24,224.5366667,9.243521455,Water
W2,48,224.9366667,2.531578339,Water
W3,96,207.88,7.572410448,Water
W4,168,174.985,24.36209761,Water
W5,240,214.14,11.14135539,Water
W5_1L,240,223.775,,Water
