Genus,Sample,Abundance,Type,Taxonomy,TotalAbundance,Total_CopyNo,RelativeAbundance,Sulfuritalea_CopyNo,,,,,
Sulfuritalea,G1_1,291,Glass,Sulfuritalea,77000,39900,0.377922078,150.7909091,,,,,
Sulfuritalea,G1_2,304,Glass,Sulfuritalea,77000,16200,0.394805195,63.95844156,102.0619048,36.23668443,,,
Sulfuritalea,G1_3,329,Glass,Sulfuritalea,77000,21400,0.427272727,91.43636364,,,,,
Sulfuritalea,G2_1,453,Glass,Sulfuritalea,77000,16800,0.588311688,98.83636364,,,,,
Sulfuritalea,G2_2,464,Glass,Sulfuritalea,77000,17700,0.602597403,106.6597403,149.3818182,66.02739713,,,
Sulfuritalea,G2_3,360,Glass,Sulfuritalea,77000,51900,0.467532468,242.6493506,,,,,
Sulfuritalea,G3_1,391,Glass,Sulfuritalea,77000,83200,0.507792208,422.4831169,,,G,282.8268398,42.2220693
Sulfuritalea,G3_2,161,Glass,Sulfuritalea,77000,67000,0.209090909,140.0909091,263.238961,118.0777605,,,
Sulfuritalea,G3_3,165,Glass,Sulfuritalea,77000,106000,0.214285714,227.1428571,,,,,
Sulfuritalea,G4_1,154,Glass,Sulfuritalea,77000,146000,0.2,292,,,,,
Sulfuritalea,G4_2,79,Glass,Sulfuritalea,77000,321000,0.102597403,329.3376623,372.9359307,89.36852663,,,
Sulfuritalea,G4_3,1644,Glass,Sulfuritalea,77000,23300,2.135064935,497.4701299,,,,,
Sulfuritalea,G5_1,155,Glass,Sulfuritalea,77000,81200,0.201298701,163.4545455,,,,,
Sulfuritalea,G5_2,74,Glass,Sulfuritalea,77000,138000,0.096103896,132.6233766,211.5930736,90.75614179,,,
Sulfuritalea,G5_3,160,Glass,Sulfuritalea,77000,163000,0.207792208,338.7012987,,,,,
Sulfuritalea,TAn1_1,76,Rock Anoxic,Sulfuritalea,77000,2290,0.098701299,2.26025974,,,,,
Sulfuritalea,TAn1_2,55,Rock Anoxic,Sulfuritalea,77000,2090,0.071428571,1.492857143,1.547099567,0.561460083,,,
Sulfuritalea,TAn1_3,70,Rock Anoxic,Sulfuritalea,77000,977,0.090909091,0.888181818,,,,,
Sulfuritalea,TAn2_1,71,Rock Anoxic,Sulfuritalea,77000,388,0.092207792,0.357766234,,,,,
Sulfuritalea,TAn2_2,141,Rock Anoxic,Sulfuritalea,77000,1050,0.183116883,1.922727273,1.270121212,0.664769578,,,
Sulfuritalea,TAn2_3,76,Rock Anoxic,Sulfuritalea,77000,1550,0.098701299,1.52987013,,,,,
Sulfuritalea,TAn3_1,257,Rock Anoxic,Sulfuritalea,77000,4940,0.333766234,16.48805195,,,TAn,90.85064935,50.95348232
Sulfuritalea,TAn3_2,152,Rock Anoxic,Sulfuritalea,77000,734,0.197402597,1.448935065,34.86470996,37.1338645,,,
Sulfuritalea,TAn3_3,198,Rock Anoxic,Sulfuritalea,77000,33700,0.257142857,86.65714286,,,,,
Sulfuritalea,TAn4_1,137,Rock Anoxic,Sulfuritalea,77000,89700,0.177922078,159.5961039,,,,,
Sulfuritalea,TAn4_2,44,Rock Anoxic,Sulfuritalea,77000,66100,0.057142857,37.77142857,81.52753247,55.33728069,,,
Sulfuritalea,TAn4_3,1874,Rock Anoxic,Sulfuritalea,77000,1940,2.433766234,47.21506494,,,,,
Sulfuritalea,TAn5_1,164,Rock Anoxic,Sulfuritalea,77000,35300,0.212987013,75.18441558,,,,,
Sulfuritalea,TAn5_2,3874,Rock Anoxic,Sulfuritalea,77000,206,5.031168831,10.36420779,92.17032036,74.70078916,,,
Sulfuritalea,TAn5_3,2698,Rock Anoxic,Sulfuritalea,77000,5450,3.503896104,190.9623377,,,,,
Sulfuritalea,TO1_1,0,Rock Oxic,Sulfuritalea,77000,126,0,0,,,,,
Sulfuritalea,TO1_2,76,Rock Oxic,Sulfuritalea,77000,2930,0.098701299,2.891948052,1.360822511,1.186758393,,,
Sulfuritalea,TO1_3,89,Rock Oxic,Sulfuritalea,77000,1030,0.115584416,1.190519481,,,,,
Sulfuritalea,TO2_1,105,Rock Oxic,Sulfuritalea,77000,4880,0.136363636,6.654545455,,,,,
Sulfuritalea,TO2_2,72,Rock Oxic,Sulfuritalea,77000,304,0.093506494,0.28425974,2.482458875,2.951531666,,,
Sulfuritalea,TO2_3,220,Rock Oxic,Sulfuritalea,77000,178,0.285714286,0.508571429,,,,,
Sulfuritalea,TO3_1,168,Rock Oxic,Sulfuritalea,77000,38700,0.218181818,84.43636364,,,TO,82.91428572,5.970225784
Sulfuritalea,TO3_2,260,Rock Oxic,Sulfuritalea,77000,22200,0.337662338,74.96103896,82.91428572,5.970225784,,,
Sulfuritalea,TO3_3,273,Rock Oxic,Sulfuritalea,77000,25200,0.354545455,89.34545455,,,,,
Sulfuritalea,TO4_1,344,Rock Oxic,Sulfuritalea,77000,9900,0.446753247,44.22857143,,,,,
Sulfuritalea,TO4_2,181,Rock Oxic,Sulfuritalea,77000,5660,0.235064935,13.30467532,20.79246753,16.92795168,,,
Sulfuritalea,TO4_3,10,Rock Oxic,Sulfuritalea,77000,37300,0.012987013,4.844155844,,,,,
Sulfuritalea,TO5_1,399,Rock Oxic,Sulfuritalea,77000,17400,0.518181818,90.16363636,,,,,
Sulfuritalea,TO5_2,322,Rock Oxic,Sulfuritalea,77000,12400,0.418181818,51.85454545,50.05367965,33.50904748,,,
Sulfuritalea,TO5_3,275,Rock Oxic,Sulfuritalea,77000,2280,0.357142857,8.142857143,,,,,
