Genus,Sample,Abundance,Type,Taxonomy,TotalAbundance,Total_CopyNo,RelativeAbundance,Thiobacillus_CopyNo,,,,,
Thiobacillus,G1_1,164,Glass,Thiobacillus,77000,39900,0.212987013,84.98181818,,,,,
Thiobacillus,G1_2,165,Glass,Thiobacillus,77000,16200,0.214285714,34.71428571,50.08917749,24.73072444,,,
Thiobacillus,G1_3,110,Glass,Thiobacillus,77000,21400,0.142857143,30.57142857,,,,,
Thiobacillus,G2_1,329,Glass,Thiobacillus,77000,16800,0.427272727,71.78181818,,,,,
Thiobacillus,G2_2,310,Glass,Thiobacillus,77000,17700,0.402597403,71.25974026,138,94.01605726,,,
Thiobacillus,G2_3,402,Glass,Thiobacillus,77000,51900,0.522077922,270.9584416,,,,,
Thiobacillus,G3_1,184,Glass,Thiobacillus,77000,83200,0.238961039,198.8155844,,,G,330.8744589,144.1826742
Thiobacillus,G3_2,182,Glass,Thiobacillus,77000,67000,0.236363636,158.3636364,189.2675325,22.37772826,,,
Thiobacillus,G3_3,153,Glass,Thiobacillus,77000,106000,0.198701299,210.6233766,,,,,
Thiobacillus,G4_1,131,Glass,Thiobacillus,77000,146000,0.17012987,248.3896104,,,,,
Thiobacillus,G4_2,128,Glass,Thiobacillus,77000,321000,0.166233766,533.6103896,273.2748918,203.1671341,,,
Thiobacillus,G4_3,125,Glass,Thiobacillus,77000,23300,0.162337662,37.82467532,,,,,
Thiobacillus,G5_1,89,Glass,Thiobacillus,77000,81200,0.115584416,93.85454545,,,,,
Thiobacillus,G5_2,92,Glass,Thiobacillus,77000,138000,0.119480519,164.8831169,186.4450217,85.76844427,,,
Thiobacillus,G5_3,142,Glass,Thiobacillus,77000,163000,0.184415584,300.5974026,,,,,
Thiobacillus,TAn1_1,116,Rock Anoxic,Thiobacillus,77000,2290,0.150649351,3.44987013,,,,,
Thiobacillus,TAn1_2,103,Rock Anoxic,Thiobacillus,77000,2090,0.133766234,2.795714286,2.538640693,0.868208479,,,
Thiobacillus,TAn1_3,108,Rock Anoxic,Thiobacillus,77000,977,0.14025974,1.370337662,,,,,
Thiobacillus,TAn2_1,55,Rock Anoxic,Thiobacillus,77000,388,0.071428571,0.277142857,,,,,
Thiobacillus,TAn2_2,160,Rock Anoxic,Thiobacillus,77000,1050,0.207792208,2.181818182,1.457099567,0.841577216,,,
Thiobacillus,TAn2_3,95,Rock Anoxic,Thiobacillus,77000,1550,0.123376623,1.912337662,,,,,
Thiobacillus,TAn3_1,65,Rock Anoxic,Thiobacillus,77000,4940,0.084415584,4.17012987,,,TAn,503.6350649,244.0033425
Thiobacillus,TAn3_2,175,Rock Anoxic,Thiobacillus,77000,734,0.227272727,1.668181818,11.42878788,12.0777053,,,
Thiobacillus,TAn3_3,65,Rock Anoxic,Thiobacillus,77000,33700,0.084415584,28.44805195,,,,,
Thiobacillus,TAn4_1,692,Rock Anoxic,Thiobacillus,77000,89700,0.898701299,806.1350649,,,,,
Thiobacillus,TAn4_2,578,Rock Anoxic,Thiobacillus,77000,66100,0.750649351,496.1792208,434.8941991,330.9855373,,,
Thiobacillus,TAn4_3,94,Rock Anoxic,Thiobacillus,77000,1940,0.122077922,2.368311688,,,,,
Thiobacillus,TAn5_1,455,Rock Anoxic,Thiobacillus,77000,35300,0.590909091,208.5909091,,,,,
Thiobacillus,TAn5_2,55,Rock Anoxic,Thiobacillus,77000,206,0.071428571,0.147142857,72.71722944,96.15164964,,,
Thiobacillus,TAn5_3,133,Rock Anoxic,Thiobacillus,77000,5450,0.172727273,9.413636364,,,,,
Thiobacillus,TO1_1,95,Rock Oxic,Thiobacillus,77000,126,0.123376623,0.155454545,,,,,
Thiobacillus,TO1_2,81,Rock Oxic,Thiobacillus,77000,2930,0.105194805,3.082207792,1.672251082,1.197227966,,,
Thiobacillus,TO1_3,133,Rock Oxic,Thiobacillus,77000,1030,0.172727273,1.779090909,,,,,
