Genus,Sample,Abundance,Type,Taxonomy,TotalAbundance,Total_CopyNo,RelativeAbundance,Thermo_CopyNo
Unclassified Thermodesulfovibrionia,G1_1,12800,Glass,Unclassified Thermodesulfovibrionia,77000,39900,16.62337662,6632.727273
Unclassified Thermodesulfovibrionia,G1_2,13919,Glass,Unclassified Thermodesulfovibrionia,77000,16200,18.07662338,2928.412987
Unclassified Thermodesulfovibrionia,G1_3,15273,Glass,Unclassified Thermodesulfovibrionia,77000,21400,19.83506494,4244.703896
Unclassified Thermodesulfovibrionia,G2_1,13554,Glass,Unclassified Thermodesulfovibrionia,77000,16800,17.6025974,2957.236364
Unclassified Thermodesulfovibrionia,G2_2,12457,Glass,Unclassified Thermodesulfovibrionia,77000,17700,16.17792208,2863.492208
Unclassified Thermodesulfovibrionia,G2_3,10931,Glass,Unclassified Thermodesulfovibrionia,77000,51900,14.1961039,7367.777922
Unclassified Thermodesulfovibrionia,G3_1,3545,Glass,Unclassified Thermodesulfovibrionia,77000,83200,4.603896104,3830.441558
Unclassified Thermodesulfovibrionia,G3_2,2941,Glass,Unclassified Thermodesulfovibrionia,77000,67000,3.819480519,2559.051948
Unclassified Thermodesulfovibrionia,G3_3,3043,Glass,Unclassified Thermodesulfovibrionia,77000,106000,3.951948052,4189.064935
Unclassified Thermodesulfovibrionia,G4_1,1877,Glass,Unclassified Thermodesulfovibrionia,77000,146000,2.437662338,3558.987013
Unclassified Thermodesulfovibrionia,G4_2,1600,Glass,Unclassified Thermodesulfovibrionia,77000,321000,2.077922078,6670.12987
Unclassified Thermodesulfovibrionia,G4_3,8120,Glass,Unclassified Thermodesulfovibrionia,77000,23300,10.54545455,2457.090909
Unclassified Thermodesulfovibrionia,G5_1,1076,Glass,Unclassified Thermodesulfovibrionia,77000,81200,1.397402597,1134.690909
Unclassified Thermodesulfovibrionia,G5_2,793,Glass,Unclassified Thermodesulfovibrionia,77000,138000,1.02987013,1421.220779
Unclassified Thermodesulfovibrionia,G5_3,1389,Glass,Unclassified Thermodesulfovibrionia,77000,163000,1.803896104,2940.350649
Unclassified Thermodesulfovibrionia,TAn1_1,4262,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,2290,5.535064935,126.752987
Unclassified Thermodesulfovibrionia,TAn1_2,3198,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,2090,4.153246753,86.80285714
Unclassified Thermodesulfovibrionia,TAn1_3,4216,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,977,5.475324675,53.49392208
Unclassified Thermodesulfovibrionia,TAn2_1,1318,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,388,1.711688312,6.641350649
Unclassified Thermodesulfovibrionia,TAn2_2,4785,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,1050,6.214285714,65.25
Unclassified Thermodesulfovibrionia,TAn2_3,2864,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,1550,3.719480519,57.65194805
Unclassified Thermodesulfovibrionia,TAn3_1,1265,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,4940,1.642857143,81.15714286
Unclassified Thermodesulfovibrionia,TAn3_2,850,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,734,1.103896104,8.102597403
Unclassified Thermodesulfovibrionia,TAn3_3,596,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,33700,0.774025974,260.8467532
Unclassified Thermodesulfovibrionia,TAn4_1,460,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,89700,0.597402597,535.8701299
Unclassified Thermodesulfovibrionia,TAn4_2,494,Rock Anoxic,Unclassified Thermodesulfovibrionia,77000,66100,0.641558442,424.0701299
