ID,Sample_or_Control,Timepoint,Name,Type,Time,Relative_Abundance_Desulforudis,CopyNumPermL,CopyNumStdDev,Desulfo_CopyNo,Extraction,SO4
TAn1L,sample,6,RockAnoxic_1L_240hr,RockAnoxic,240,0.096470323,46700,865,4505.164066,1,218.92
G1L,sample,6,Glass_1L_240hr,Glass,240,0.07172596,202000,1640,14488.64397,1,235.86
W1L,sample,6,Water_1L_240hr,Water,240,0.154009079,104000,2200,16016.94419,1,223.775
TO1L,sample,6,RockOxic_1L_240hr,RockOxic,240,0.092468934,35000,2050,3236.412698,1,226.955
TO5_2,sample,6,RockOxic_240hr,RockOxic,240,0.186599878,12400,190,2313.838487,1,227.925
TO5_3,sample,6,RockOxic_240hr,RockOxic,240,0.2278436,2280,75.6,519.483407,1,232.855
W5_3,sample,6,Water_240hr,Water,240,0.163164151,54700,1630,8925.079059,1,198.75
G5_2,sample,6,Glass_240hr,Glass,240,0.083717116,138000,8050,11552.96196,1,225.615
G5_3,sample,6,Glass_240hr,Glass,240,0.081916583,163000,13300,13352.40306,1,234.06
TAn5_1,sample,6,RockAnoxic_240hr,RockAnoxic,240,0.195864295,35300,2310,6914.009596,1,239.135
TAn5_2,sample,6,RockAnoxic_240hr,RockAnoxic,240,0.577315684,206,8.39,118.9270309,1,228.27
W5_1,sample,6,Water_240hr,Water,240,0.152285836,50100,307,7629.520402,2,224.76
W5_2,sample,6,Water_240hr,Water,240,0.415677797,15800,96.2,6567.709187,2,218.91
G5_1,sample,6,Glass_240hr,Glass,240,0.071084144,81200,3250,5772.032505,2,231.06
W4_1,sample,5,Water_168hr,Water,168,0.17317583,96000,3490,16624.87964,2,142.545
W4_3,sample,5,Water_168hr,Water,168,0.166025498,85500,5740,14195.18008,2,181.155
G4_1,sample,5,Glass_168hr,Glass,168,0.088574352,146000,16600,12931.85534,2,194.945
W4_2,sample,5,Water_168hr,Water,168,0.164279561,54700,1480,8986.09198,2,201.255
TO4_1,sample,5,RockOxic_168hr,RockOxic,168,0.152274634,9900,402,1507.518875,2,218.065
TAn4_3,sample,5,RockAnoxic_168hr,RockAnoxic,168,0.648735169,1940,101,1258.546228,2,208.415
