ID,Sample_or_Control,Timepoint,Name,Type,Relative_Abundance_Hydrogenophaga,CopyNumPermL,CopyNumStdDev,Hydrogeno_CopyNo,Extraction,SO4
TAn1L,sample,6,RockAnoxic_1L_240hr,RockAnoxic,0.369669108,46700,865,17263.54736,1,218.92
G1L,sample,6,Glass_1L_240hr,Glass,0.291567071,202000,1640,58896.54843,1,235.86
W1L,sample,6,Water_1L_240hr,Water,0.420105522,104000,2200,43690.97429,1,223.775
TO1L,sample,6,RockOxic_1L_240hr,RockOxic,0.263988151,35000,2050,9239.585268,1,226.955
TO5_2,sample,6,RockOxic_240hr,RockOxic,0.454412617,12400,190,5634.716447,1,227.925
TO5_3,sample,6,RockOxic_240hr,RockOxic,0.442061103,2280,75.6,1007.899316,1,232.855
W5_3,sample,6,Water_240hr,Water,0.490968967,54700,1630,26856.0025,1,198.75
G5_2,sample,6,Glass_240hr,Glass,0.302878893,138000,8050,41797.28724,1,225.615
G5_3,sample,6,Glass_240hr,Glass,0.408306466,163000,13300,66553.95388,1,234.06
TAn5_1,sample,6,RockAnoxic_240hr,RockAnoxic,0.460693813,35300,2310,16262.49161,1,239.135
TAn5_2,sample,6,RockAnoxic_240hr,RockAnoxic,0.008527096,206,8.39,1.756581743,1,228.27
W5_1,sample,6,Water_240hr,Water,0.514434238,50100,307,25773.15531,2,224.76
W5_2,sample,6,Water_240hr,Water,0.011739738,15800,96.2,185.4878623,2,218.91
G5_1,sample,6,Glass_240hr,Glass,0.220569315,81200,3250,17910.22834,2,231.06
W4_1,sample,5,Water_168hr,Water,0.466813837,96000,3490,44814.12837,2,142.545
W4_3,sample,5,Water_168hr,Water,0.50802102,85500,5740,43435.79722,2,181.155
G4_1,sample,5,Glass_168hr,Glass,0.407212091,146000,16600,59452.96531,2,194.945
W4_2,sample,5,Water_168hr,Water,0.45293432,54700,1480,24775.50733,2,201.255
TO4_1,sample,5,RockOxic_168hr,RockOxic,0.459043686,9900,402,4544.53249,2,218.065
TAn4_3,sample,5,RockAnoxic_168hr,RockAnoxic,0.011174099,1940,101,21.67775293,2,208.415
TO5_1,sample,6,RockOxic_240hr,RockOxic,0.531902452,17400,192,9255.102663,2,233.825
TAn5_3,sample,6,RockAnoxic_240hr,RockAnoxic,0.302406059,5450,318,1648.113021,2,208.865
G1_2,sample,2,Glass_24hr,Glass,0.004018847,16200,1120,65.10531463,3,208.155
G1_3,sample,2,Glass_24hr,Glass,0.001374114,21400,242,29.40603449,3,214.725
G4_2,sample,5,Glass_168hr,Glass,0.35706985,321000,17300,114619.4219,3,207.2
G4_3,sample,5,Glass_168hr,Glass,0.035121164,23300,2000,818.3231167,3,214.53
TO1_1,sample,2,RockOxic_24hr,RockOxic,0.002681725,126,6.4,0.337897331,3,232.285
TO1_3,sample,2,RockOxic_24hr,RockOxic,0.002818985,1030,34.5,2.90355472,3,216.335
TO4_2,sample,5,RockOxic_168hr,RockOxic,0.346647464,5660,458,1962.024644,3,219.91
TO4_3,sample,5,RockOxic_168hr,RockOxic,0.406058425,37300,2510,15145.97924,3,215.415
TAn4_1,sample,5,RockAnoxic_168hr,RockAnoxic,0.395885957,89700,3900,35510.97033,3,175.005
TAn4_2,sample,5,RockAnoxic_168hr,RockAnoxic,0.480235683,66100,2670,31743.57862,3,209.495
W1_3,sample,2,Water_24hr,Water,0.006174312,39600,11200,244.5027574,3,236.4
TAn1_2,sample,2,RockAnoxic_24hr,RockAnoxic,0.002787819,2090,166,5.826541151,4,203.005
TAn1_3,sample,2,RockAnoxic_24hr,RockAnoxic,0.002558611,977,29.1,2.499762622,4,191.715
TAn1_1,sample,2,RockAnoxic_24hr,RockAnoxic,0.002316317,2290,68.4,5.304366314,4,217.61
TAn2_1,sample,3,RockAnoxic_48hr,RockAnoxic,0.005319216,388,4.83,2.063855618,4,205.77
W1_1,sample,2,Water_24hr,Water,0.006013502,28400,969,170.7834572,4,213.85
W1_2,sample,2,Water_24hr,Water,0.005921632,29000,551,171.727317,4,223.36
W2_2,sample,3,Water_48hr,Water,0.142766027,59600,14600,8508.855223,4,223.67
W2_3,sample,3,Water_48hr,Water,0.151407012,74900,470,11340.38519,4,222.67
G1_1,sample,2,Glass_24hr,Glass,0.00363441,39900,7450,145.0129396,4,224.975
G2_3,sample,3,Glass_48hr,Glass,0.104190488,51900,6160,5407.486337,4,199.71
TO1_2,sample,2,RockOxic_24hr,RockOxic,0.002594547,2930,274,7.602021412,4,218.57
t0_1,sample,1,t0,Initial,0.000822658,7650,905,6.293331108,5,223.73
t0_2,sample,1,t0,Initial,0.00127588,6930,4950,8.84184503,5,225.85
t0_3,sample,1,t0,Initial,0.001042009,6160,209,6.418775107,5,220.81
W3_2,sample,4,Water_96hr,Water,0.47223714,81900,3370,38676.22176,5,217.48
W3_3,sample,4,Water_96hr,Water,0.484164488,38800,933,18785.58213,5,207.19
G3_1,sample,4,Glass_96hr,Glass,0.267755748,83200,5030,22277.27825,5,212.38
G3_2,sample,4,Glass_96hr,Glass,0.363364556,67000,3220,24345.42527,5,216.555
G3_3,sample,4,Glass_96hr,Glass,0.253546154,106000,4790,26875.89233,5,231.38
TO3_1,sample,4,RockOxic_96hr,RockOxic,0.403040675,38700,1890,15597.67411,5,222.79
TO3_3,sample,4,RockOxic_96hr,RockOxic,0.55795014,25200,1190,14060.34354,5,226.995
TAn3_2,sample,4,RockAnoxic_96hr,RockAnoxic,0.016074118,734,36.1,11.7984025,5,211.82
W2_1,sample,3,Water_48hr,Water,0.138778198,22200,831,3080.876,6,228.47
W3_1,sample,4,Water_96hr,Water,0.001739572,6480,364,11.27242495,6,198.97
G2_1,sample,3,Glass_48hr,Glass,0.066854704,16800,918,1123.159029,6,220.66
G2_2,sample,3,Glass_48hr,Glass,0.075244906,17700,548,1331.83483,6,231.39
TO2_1,sample,3,RockOxic_48hr,RockOxic,0.138785458,4880,546,677.2730373,6,203.03
TO2_2,sample,3,RockOxic_48hr,RockOxic,0.002785204,304,3.37,0.846702088,6,209.46
TO2_3,sample,3,RockOxic_48hr,RockOxic,0.141476274,178,9.24,25.1827768,6,198.35
TO3_2,sample,4,RockOxic_96hr,RockOxic,0.482060975,22200,521,10701.75365,6,229.675
TAn2_2,sample,3,RockAnoxic_48hr,RockAnoxic,0.021257436,1050,13,22.32030823,6,205.02
TAn2_3,sample,3,RockAnoxic_48hr,RockAnoxic,0.129708223,1550,66.3,201.0477454,6,208.17
TAn3_1,sample,4,RockAnoxic_96hr,RockAnoxic,0.462999054,4940,172,2287.215326,6,198.12
TAn3_3,sample,4,RockAnoxic_96hr,RockAnoxic,0.427297822,33700,1700,14399.93659,6,229.875
