"Sample","Abundance","Type","Taxonomy","RelativeAbundance"
"G1L",5475,"Glass","Candidatus Desulforudis",7.11038961038961
"G1_1",35723,"Glass","Candidatus Desulforudis",46.3935064935065
"G1_2",34876,"Glass","Candidatus Desulforudis",45.2935064935065
"G1_3",31928,"Glass","Candidatus Desulforudis",41.4649350649351
"G2_1",23165,"Glass","Candidatus Desulforudis",30.0844155844156
"G2_2",24045,"Glass","Candidatus Desulforudis",31.2272727272727
"G2_3",21653,"Glass","Candidatus Desulforudis",28.1207792207792
"G3_1",6894,"Glass","Candidatus Desulforudis",8.95324675324675
"G3_2",9099,"Glass","Candidatus Desulforudis",11.8168831168831
"G3_3",7468,"Glass","Candidatus Desulforudis",9.6987012987013
"G4_1",6851,"Glass","Candidatus Desulforudis",8.8974025974026
"G4_2",6099,"Glass","Candidatus Desulforudis",7.92077922077922
"G4_3",42405,"Glass","Candidatus Desulforudis",55.0714285714286
"G5_1",5506,"Glass","Candidatus Desulforudis",7.15064935064935
"G5_2",6522,"Glass","Candidatus Desulforudis",8.47012987012987
"G5_3",6333,"Glass","Candidatus Desulforudis",8.22467532467532
"TAn1L",7543,"Rock Anoxic","Candidatus Desulforudis",9.7961038961039
"TAn1_1",56245,"Rock Anoxic","Candidatus Desulforudis",73.0454545454545
"TAn1_2",58213,"Rock Anoxic","Candidatus Desulforudis",75.6012987012987
"TAn1_3",48697,"Rock Anoxic","Candidatus Desulforudis",63.2428571428571
"TAn2_1",49024,"Rock Anoxic","Candidatus Desulforudis",63.6675324675325
"TAn2_2",41280,"Rock Anoxic","Candidatus Desulforudis",53.6103896103896
"TAn2_3",42585,"Rock Anoxic","Candidatus Desulforudis",55.3051948051948
"TAn3_1",20315,"Rock Anoxic","Candidatus Desulforudis",26.3831168831169
"TAn3_2",51163,"Rock Anoxic","Candidatus Desulforudis",66.4454545454545
"TAn3_3",14916,"Rock Anoxic","Candidatus Desulforudis",19.3714285714286
"TAn4_1",9183,"Rock Anoxic","Candidatus Desulforudis",11.925974025974
"TAn4_2",11228,"Rock Anoxic","Candidatus Desulforudis",14.5818181818182
"TAn4_3",49913,"Rock Anoxic","Candidatus Desulforudis",64.8220779220779
